role,required_skills
Data Analyst,"python,sql,excel,pandas,numpy,power bi,tableau,matplotlib"
Machine Learning Engineer,"python,machine learning,scikit-learn,pandas,numpy,fastapi,docker,git"
AI Engineer,"python,artificial intelligence,machine learning,deep learning,llm,rag,apis,pytorch"
NLP Engineer,"python,nlp,transformers,hugging face,pytorch,spacy,llm"
Computer Vision Engineer,"python,computer vision,opencv,deep learning,cnn,yolo,pytorch,tensorflow"
Python Developer,"python,sql,flask,django,rest api,git,github,mongodb"
Data Scientist,"python,sql,machine learning,pandas,numpy,scikit-learn,matplotlib,deep learning"
Full Stack Developer,"python,javascript,typescript,html,css,rest api,mongodb,git,github"
Cloud/DevOps Engineer,"python,docker,kubernetes,aws,azure,linux,git,github,apis"
AI/ML Intern,"python,machine learning,pandas,numpy,scikit-learn,sql,git"
